"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.316,0.758,98.864,0.0,0.0,0.063,436.0,0.0,69013695.0,272218.0,133315938.0,522046.0,6557491200.0,412139520.0,4879450112.0,13474217984.0,0.0,0.0
0.504,0.819,98.552,0.063,0.0,0.063,494.0,106.0,69351715.0,272842.0,137583225.0,539014.0,6627418112.0,412139520.0,4879450112.0,13404291072.0,0.0,20480.0
0.441,0.819,98.615,0.0,0.0,0.126,320.0,0.0,71285926.0,281038.0,137950623.0,538474.0,6709460992.0,412139520.0,4879450112.0,13322248192.0,0.0,0.0
0.441,0.882,98.614,0.0,0.0,0.063,481.0,106.0,67814997.0,265808.0,133902937.0,524116.0,6778826752.0,412139520.0,4879450112.0,13252882432.0,0.0,0.0
0.442,0.820,98.738,0.0,0.0,0.0,256.0,0.0,72363572.0,309199.0,140504878.0,573813.0,6852321280.0,412139520.0,4879450112.0,13179387904.0,0.0,0.0
0.378,0.883,98.676,0.0,0.0,0.063,952.0,106.0,68461217.0,269062.0,135029655.0,530468.0,6925979648.0,412139520.0,4879450112.0,13105729536.0,0.0,0.0
0.378,0.883,98.676,0.063,0.0,0.0,256.0,0.0,70284215.0,277748.0,137057375.0,538068.0,6993190912.0,412139520.0,4879462400.0,13038505984.0,0.0,12288.0
0.504,1.008,98.426,0.0,0.0,0.063,244.0,0.0,70871053.0,346056.0,136889658.0,670730.0,7066624000.0,412139520.0,4879462400.0,12965072896.0,0.0,4096.0
0.442,0.820,98.675,0.0,0.0,0.063,556.0,198.0,68920323.0,270574.0,137595392.0,536388.0,7144599552.0,412139520.0,4879462400.0,12887097344.0,0.0,0.0
0.378,0.757,98.802,0.0,0.0,0.063,384.0,106.0,70567539.0,277230.0,135236618.0,576432.0,7215579136.0,412139520.0,4879462400.0,12816117760.0,0.0,0.0
0.441,0.820,98.676,0.0,0.0,0.063,192.0,0.0,68859674.0,319714.0,137798202.0,587682.0,7287013376.0,412139520.0,4879466496.0,12744679424.0,0.0,0.0
0.442,0.883,98.675,0.0,0.0,0.0,64.0,0.0,71037260.0,279562.0,137400910.0,537448.0,7356346368.0,412139520.0,4879466496.0,12675346432.0,0.0,0.0
0.379,0.757,98.738,0.063,0.0,0.063,490.0,0.0,67575970.0,265918.0,134076883.0,524900.0,7430000640.0,412139520.0,4879466496.0,12601692160.0,0.0,12288.0
0.441,0.883,98.676,0.0,0.0,0.0,362.0,174.0,72358937.0,285992.0,140161439.0,551002.0,7497109504.0,412139520.0,4879466496.0,12534583296.0,0.0,8192.0
0.441,0.818,98.615,0.0,0.0,0.126,606.0,106.0,67602343.0,266198.0,133714724.0,522594.0,7568666624.0,412139520.0,4879466496.0,12463026176.0,0.0,0.0
0.379,0.820,98.738,0.0,0.0,0.063,180.0,0.0,71950367.0,284042.0,139638078.0,548370.0,7642054656.0,412139520.0,4879466496.0,12389638144.0,0.0,0.0
0.504,0.757,98.739,0.0,0.0,0.0,256.0,0.0,69681937.0,274318.0,135932862.0,533848.0,7709282304.0,412139520.0,4879466496.0,12322410496.0,0.0,0.0
0.379,0.820,98.738,0.0,0.0,0.063,496.0,0.0,69342215.0,274898.0,136437482.0,540958.0,7778529280.0,412139520.0,4879466496.0,12253163520.0,0.0,0.0
0.378,0.819,98.614,0.189,0.0,0.0,490.0,174.0,70794228.0,278974.0,136376369.0,533694.0,7847989248.0,412139520.0,4879466496.0,12183703552.0,0.0,20480.0
0.379,0.820,98.675,0.0,0.0,0.126,234.0,106.0,69275089.0,297223.0,138767685.0,568731.0,7925870592.0,412139520.0,4879466496.0,12105822208.0,0.0,12288.0
0.378,0.820,98.802,0.0,0.0,0.0,384.0,0.0,70392463.0,277188.0,134815632.0,528976.0,7990865920.0,412139520.0,4879478784.0,12040814592.0,0.0,0.0
0.379,0.820,98.675,0.0,0.0,0.126,658.0,0.0,68748018.0,271442.0,137418328.0,538912.0,8063049728.0,412139520.0,4879478784.0,11968630784.0,0.0,0.0
0.442,0.757,98.801,0.0,0.0,0.0,414.0,106.0,71000833.0,345212.0,137253880.0,667742.0,8134733824.0,412139520.0,4879478784.0,11896946688.0,0.0,0.0
0.441,0.819,98.615,0.0,0.0,0.126,192.0,0.0,67431150.0,264828.0,133758168.0,522480.0,8204066816.0,412139520.0,4879478784.0,11827613696.0,0.0,0.0
0.441,0.882,98.551,0.063,0.0,0.063,426.0,106.0,72431033.0,283202.0,140595857.0,545724.0,8279564288.0,412139520.0,4879478784.0,11752116224.0,0.0,12288.0
0.441,0.882,98.615,0.0,0.0,0.063,490.0,106.0,68172251.0,265282.0,134357662.0,519958.0,8350982144.0,412139520.0,4879478784.0,11680698368.0,0.0,4096.0
0.379,0.820,98.738,0.0,0.0,0.063,384.0,0.0,70856957.0,277818.0,138359213.0,538876.0,8426606592.0,412139520.0,4879478784.0,11605073920.0,0.0,0.0
0.315,0.757,98.864,0.0,0.0,0.063,256.0,0.0,70430888.0,274726.0,135827122.0,527714.0,8500252672.0,412139520.0,4879478784.0,11531427840.0,0.0,0.0
0.442,0.820,98.738,0.0,0.0,0.0,514.0,92.0,68907889.0,270014.0,137174822.0,533242.0,8569458688.0,412139520.0,4879478784.0,11462221824.0,0.0,0.0
0.378,0.882,98.678,0.0,0.0,0.063,648.0,212.0,70391408.0,274430.0,134717671.0,523140.0,8634470400.0,412139520.0,4879478784.0,11397210112.0,0.0,0.0
0.441,0.883,98.550,0.063,0.0,0.063,688.0,0.0,69075722.0,271448.0,138517059.0,539222.0,8710340608.0,412139520.0,4879478784.0,11321339904.0,0.0,12288.0
0.504,0.882,98.552,0.0,0.0,0.063,208.0,0.0,70733950.0,276622.0,136214796.0,531136.0,8779546624.0,412139520.0,4879478784.0,11252133888.0,0.0,4096.0
0.378,0.820,98.739,0.0,0.0,0.063,256.0,0.0,68198552.0,266618.0,135733091.0,527750.0,8846729216.0,412139520.0,4879478784.0,11184951296.0,0.0,0.0
0.505,0.757,98.675,0.0,0.0,0.063,474.0,106.0,72220159.0,282678.0,139697436.0,546954.0,8916094976.0,412139520.0,4879478784.0,11115585536.0,0.0,0.0
0.504,0.757,98.739,0.0,0.0,0.0,362.0,106.0,67261272.0,288133.0,132957911.0,559019.0,8983457792.0,412139520.0,4879478784.0,11048222720.0,0.0,0.0
0.441,0.757,98.739,0.0,0.0,0.063,180.0,0.0,71625033.0,298812.0,139668969.0,561886.0,9056866304.0,412139520.0,4879478784.0,10974814208.0,0.0,0.0
0.441,0.882,98.489,0.126,0.0,0.063,308.0,0.0,68925433.0,268718.0,134713605.0,523008.0,9128296448.0,412139520.0,4879478784.0,10903384064.0,0.0,12288.0
0.378,0.945,98.552,0.0,0.0,0.126,234.0,106.0,69948311.0,341197.0,136896622.0,670836.0,9199894528.0,412139520.0,4879478784.0,10831785984.0,0.0,4096.0
0.441,0.882,98.552,0.0,0.0,0.126,192.0,0.0,71268003.0,279114.0,137910208.0,535800.0,9277612032.0,412139520.0,4879482880.0,10754064384.0,0.0,0.0
0.567,0.819,98.551,0.0,0.0,0.063,384.0,106.0,68732913.0,269342.0,137032869.0,534942.0,9349042176.0,412139520.0,4879482880.0,10682634240.0,0.0,0.0
0.441,0.819,98.678,0.0,0.0,0.063,256.0,0.0,70205761.0,274318.0,134514503.0,522914.0,9397403648.0,412139520.0,4879482880.0,10634272768.0,0.0,0.0
0.504,0.883,98.613,0.0,0.0,0.0,192.0,0.0,67803328.0,266192.0,137249172.0,536694.0,9450323968.0,412139520.0,4879482880.0,10581352448.0,0.0,0.0
0.315,0.882,98.678,0.063,0.0,0.063,904.0,106.0,69812001.0,279290.0,127123568.0,536501.0,9505542144.0,412139520.0,4879482880.0,10526134272.0,0.0,12288.0
0.315,0.630,98.992,0.0,0.0,0.063,180.0,0.0,51120510.0,200080.0,100357705.0,391232.0,9557635072.0,412139520.0,4879400960.0,10474123264.0,0.0,8192.0
0.315,0.630,98.992,0.0,0.0,0.063,770.0,106.0,54557203.0,210628.0,106599714.0,438608.0,9610190848.0,412139520.0,4879400960.0,10421567488.0,0.0,0.0
0.315,2.519,97.166,0.0,0.0,0.0,192.0,0.0,51471329.0,228857.0,100286897.0,417797.0,9664700416.0,412139520.0,4879400960.0,10367057920.0,0.0,0.0
0.378,3.778,95.781,0.0,0.0,0.063,544.0,106.0,52253971.0,204856.0,103357207.0,405282.0,9717166080.0,412139520.0,4879405056.0,10314588160.0,0.0,0.0
0.377,4.403,95.157,0.0,0.0,0.063,256.0,0.0,53637576.0,208211.0,102884368.0,404957.0,9769611264.0,412139520.0,4879466496.0,10262081536.0,0.0,0.0
0.378,3.965,95.469,0.126,0.0,0.063,334.0,92.0,51286189.0,199459.0,101904875.0,399984.0,9819975680.0,412139520.0,4879466496.0,10211717120.0,0.0,20480.0
