"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.125,0.251,99.624,0.0,0.0,0.0,346.0,106.0,152937.0,37494648.0,268821.0,72734382.0,6415753216.0,412123136.0,5179031552.0,13316390912.0,0.0,4096.0
0.188,0.251,99.498,0.063,0.0,0.0,490.0,0.0,132553.0,32850178.0,235000.0,64981667.0,6416875520.0,412123136.0,5179031552.0,13315268608.0,0.0,36864.0
0.188,0.188,99.624,0.0,0.0,0.0,128.0,0.0,149900.0,37026161.0,264064.0,72376763.0,6416031744.0,412123136.0,5179035648.0,13316108288.0,0.0,0.0
0.125,0.125,99.749,0.0,0.0,0.0,350.0,106.0,137358.0,33772348.0,242565.0,66064335.0,6415470592.0,412123136.0,5179031552.0,13316673536.0,0.0,0.0
0.125,0.188,99.624,0.0,0.0,0.063,308.0,0.0,150576.0,37028046.0,268443.0,72453884.0,6415454208.0,412123136.0,5179031552.0,13316689920.0,0.0,0.0
0.125,0.251,99.624,0.0,0.0,0.0,170.0,106.0,139800.0,33891015.0,245098.0,66123604.0,6415093760.0,412123136.0,5179031552.0,13317050368.0,0.0,0.0
0.188,0.251,99.436,0.125,0.0,0.0,128.0,0.0,148375.0,35543341.0,259350.0,69011431.0,6416318464.0,412123136.0,5179031552.0,13315825664.0,0.0,40960.0
0.125,0.188,99.686,0.0,0.0,0.0,1182.0,106.0,143671.0,35069256.0,253308.0,68905317.0,6416248832.0,412123136.0,5179035648.0,13315891200.0,0.0,0.0
0.125,0.251,99.624,0.0,0.0,0.0,64.0,0.0,137204.0,33569141.0,240118.0,65584403.0,6416097280.0,412123136.0,5179047936.0,13316030464.0,0.0,0.0
0.251,0.188,99.561,0.0,0.0,0.0,64.0,0.0,147505.0,36732305.0,262052.0,72066045.0,6416617472.0,412123136.0,5179043840.0,13315514368.0,0.0,0.0
0.125,0.188,99.686,0.0,0.0,0.0,350.0,106.0,133737.0,32214034.0,233858.0,62945052.0,6416179200.0,412123136.0,5179060224.0,13315936256.0,0.0,0.0
0.188,0.689,98.935,0.188,0.0,0.0,478.0,106.0,153858.0,37621963.0,267490.0,72841419.0,6416769024.0,412123136.0,5179060224.0,13315346432.0,0.0,45056.0
0.188,0.188,99.624,0.0,0.0,0.0,64.0,0.0,132205.0,33040686.0,236650.0,65212432.0,6416453632.0,412123136.0,5179064320.0,13315657728.0,0.0,0.0
0.250,0.313,99.437,0.0,0.0,0.0,256.0,0.0,151923.0,36912000.0,266152.0,72053495.0,6416760832.0,412123136.0,5179060224.0,13315354624.0,0.0,0.0
0.125,0.188,99.687,0.0,0.0,0.0,320.0,0.0,135848.0,33557207.0,240388.0,65902536.0,6416896000.0,412123136.0,5179060224.0,13315219456.0,0.0,0.0
0.188,0.188,99.561,0.0,0.0,0.063,440.0,266.0,152666.0,37132121.0,292491.0,72582953.0,6416121856.0,412123136.0,5179064320.0,13315989504.0,0.0,0.0
0.188,0.251,99.498,0.063,0.0,0.0,378.0,106.0,138684.0,33911140.0,242593.0,65793918.0,6416785408.0,412123136.0,5179064320.0,13315325952.0,0.0,57344.0
0.125,0.188,99.686,0.0,0.0,0.0,180.0,0.0,146150.0,35566253.0,255958.0,69284610.0,6416183296.0,412123136.0,5179092992.0,13315899392.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,308.0,0.0,140378.0,34706894.0,247847.0,68236715.0,6416617472.0,412123136.0,5179092992.0,13315465216.0,0.0,0.0
0.125,0.125,99.686,0.0,0.0,0.063,320.0,0.0,139431.0,33862382.0,246016.0,65899838.0,6415966208.0,412123136.0,5179092992.0,13316116480.0,0.0,0.0
0.125,0.188,99.686,0.0,0.0,0.0,340.0,280.0,147935.0,36349585.0,263039.0,71342564.0,6416109568.0,412123136.0,5179092992.0,13315973120.0,0.0,0.0
0.188,0.313,99.373,0.125,0.0,0.0,128.0,0.0,134802.0,31910619.0,234651.0,62426274.0,6417403904.0,412123136.0,5179092992.0,13314678784.0,0.0,49152.0
0.251,0.188,99.561,0.0,0.0,0.0,64.0,0.0,155405.0,37816806.0,274370.0,73857550.0,6416871424.0,412123136.0,5179092992.0,13315211264.0,0.0,16384.0
0.125,0.188,99.687,0.0,0.0,0.0,234.0,106.0,131517.0,32495444.0,232905.0,63534137.0,6416277504.0,412123136.0,5179092992.0,13315805184.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,180.0,0.0,150956.0,36624509.0,265149.0,71603763.0,6416080896.0,412123136.0,5179092992.0,13316001792.0,0.0,0.0
0.125,0.188,99.624,0.0,0.0,0.063,350.0,106.0,137247.0,33473827.0,242484.0,65722905.0,6415319040.0,412123136.0,5179092992.0,13316763648.0,0.0,0.0
0.251,0.251,99.373,0.125,0.0,0.0,408.0,0.0,151867.0,36955125.0,267017.0,72067732.0,6417448960.0,412123136.0,5179092992.0,13314633728.0,0.0,36864.0
